date,close,high,low,trade_count,open,volume,vwap,tic,macd,rsi_14,cci_14,boll_ub,boll_lb
2016-01-12,99.96,100.69,98.8399,282811,100.55,51870901,99.764759,AAPL,-0.2767732812623649,33.11932765588695,-14.724588990800372,106.43993889466945,93.74863253390195
2016-01-12,89.82,91.03,88.4075,21855,89.89,2605221,89.680439,ADBE,11.500097926077558,85.81737824511359,65.17845559645203,104.20148102707799,21.134518972921995
2016-01-12,617.89,625.99,612.2415,58916,625.25,5006073,620.360524,AMZN,142.69130933815433,92.1105830406397,65.4447987621544,797.1993001161256,-245.20030011612562
2016-01-12,25.35,25.57,25.03,98638,25.51,32215909,25.303125,CSCO,-0.7729195990675564,36.75769855990946,-96.82312879748918,28.25536561272141,24.426634387278593
2016-01-12,745.34,748.34,736.43,37854,740.75,2448455,743.893586,GOOGL,135.86095279799645,89.91735136003166,65.7024810068955,913.2073468319662,-73.76934683196612
2016-01-12,32.68,32.89,32.27,136344,32.76,30537073,32.582556,INTC,-39.128487139708746,14.319573453806868,-66.87755915014642,204.6415091888544,-5.12250918885438
2016-01-12,99.37,99.96,97.55,168244,99.0,29365186,99.065267,META,1.7207100607104024,59.498328760077435,58.029663164430495,105.78672251652188,76.15227748347814
2016-01-12,52.78,53.1,52.06,212074,52.76,39258909,52.628239,MSFT,-24.448069606834665,11.496151701803129,-67.85827341271519,184.8742445329826,26.424755467017377
2016-01-12,30.18,30.62,29.97,72818,30.21,12726446,30.220633,NVDA,-23.35278227510522,15.841092837445117,-67.84588375921282,173.18587528752704,2.1611247124730113
2016-01-12,209.97,213.7395,205.31,28890,211.6,3179026,209.401182,TSLA,14.284401579440413,65.73148366981259,53.38528793892415,238.78355871952706,118.27944128047292
2016-01-13,97.39,101.19,97.3,362017,100.32,64725429,99.326527,AAPL,-0.33388243009834184,25.966453631419498,-46.53881417719698,105.93455247143757,93.57794752856242
2016-01-13,88.3,91.44,87.99,30043,90.59,3599970,89.678693,ADBE,11.566857644337688,82.24262692419447,55.58295723713067,107.16719261333029,22.03480738666972
2016-01-13,581.81,620.88,579.16,100624,620.88,8002307,594.172902,AMZN,142.24246877108612,83.92893954973209,51.69453796743164,831.3456591825446,-230.72865918254467
2016-01-13,24.6,25.52,24.57,125146,25.42,35826419,24.908239,CSCO,-0.8161272802805577,31.96546695321547,-138.1025128777645,27.843836255979443,24.425163744020548
2016-01-13,719.57,753.0,716.78,40505,749.34,2783727,729.661771,GOOGL,136.275011104613,84.12632394432623,54.27862876980128,947.4567989802495,-61.753798980249314
2016-01-13,31.91,32.93,31.83,170906,32.76,37137851,32.265056,INTC,-38.77526578137583,14.211828752315611,-59.058426638769646,198.21631411425426,-11.60131411425425
2016-01-13,95.44,100.58,95.21,197260,100.58,34413805,97.527313,META,1.617677160170956,52.83947885590962,36.585773994529454,106.05618351707189,76.17781648292812
2016-01-13,51.64,54.07,51.3038,370587,53.8,70299689,52.743636,MSFT,-24.730468735872492,11.3003904475692,-59.8850876567347,181.35806692849104,20.55793307150894
2016-01-13,29.26,30.61,29.23,74978,30.41,13470243,29.763066,NVDA,-23.894430388498385,15.65163101766963,-60.149792390814994,171.00223930076584,-4.744239300765827
2016-01-13,200.31,212.65,200.0,37904,212.01,4197796,204.10927,TSLA,13.636104776026144,59.64405787147503,37.270397430167606,240.5447273105209,118.47727268947914
2016-01-14,99.52,100.48,95.74,362782,97.96,65793807,98.330652,AAPL,-0.2626722249073197,37.93120185753086,-45.28098544904436,105.51141851105764,93.94858148894234
2016-01-14,89.8,90.3,87.32,35084,88.92,4338082,89.256343,ADBE,11.607004345033374,82.99540878111814,48.922051338230574,109.97353093090456,23.27846906909545
2016-01-14,593.0,602.25,569.88,86278,580.25,7453181,588.707834,AMZN,141.16246583368417,84.39198843126289,44.15463197908864,862.381039772157,-211.97103977215698
2016-01-14,24.66,24.9,24.46,152102,24.69,46129391,24.684713,CSCO,-0.8358925315980912,32.7211552272061,-135.78272638203882,27.468441844881898,24.440558155118108
2016-01-14,731.39,739.89,705.0,43879,724.44,2919830,726.352997,GOOGL,135.98933016416015,84.6157380942428,46.87775579919486,978.9392724761192,-45.819272476119295
2016-01-14,32.74,32.87,31.8,209638,31.97,51079138,32.442537,INTC,-37.99043120397681,14.954657030442547,-52.18114029447257,190.87084876346506,-16.66184876346506
2016-01-14,98.37,98.87,92.45,272685,95.85,50058183,96.122351,META,1.7522505040768692,56.72780871347827,26.623673032682788,106.74452527432261,76.16847472567737
2016-01-14,53.11,53.4163,51.57,277036,52.0,57332453,52.696259,MSFT,-24.552627953940586,13.349395440648266,-52.72117176867682,176.98166141613353,15.924338583866472
2016-01-14,28.67,29.0,27.82,87622,28.66,15600855,28.46052,NVDA,-24.093562894564258,15.523406093273593,-55.344401940210496,167.61085874325204,-10.64485874325203
2016-01-14,206.18,210.0,193.38,58237,202.21,6610193,201.855399,TSLA,13.441044832883648,61.95006088113339,29.813004547985393,243.14496471141695,118.82103528858308
2016-01-15,97.13,97.71,95.36,446779,96.2,86255486,96.669106,AAPL,-0.33144336544377495,31.733914443471704,-94.34593971854574,105.16341139681066,93.77658860318934
2016-01-15,89.17,89.35,86.82,32831,86.84,4530953,88.449363,ADBE,11.455928348768921,81.43395220582978,41.28571437925055,112.2249830207349,25.12901697926508
2016-01-15,570.18,584.62,565.3,95677,572.24,8327314,572.779902,AMZN,136.8872217564184,79.36963876947169,34.606288511039956,885.0929802958676,-186.7509802958677
2016-01-15,23.62,24.43,23.57,217714,23.93,70644887,23.825005,CSCO,-0.9248152495067181,27.101888988491325,-186.404048693749,27.51215956110246,24.043840438897544
