time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/policy_gradient_loss,train/std,train/clip_fraction,train/explained_variance,train/n_updates,train/clip_range,train/entropy_loss,train/loss,train/value_loss,train/learning_rate,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
1024,1,1,638,,,,,,,,,,,,,
2048,4,2,498,-0.04418730935576605,1.024280309677124,0.17578125,-0.605413556098938,10,0.3,-14.32578066289425,-0.9130827188491821,0.13622876339359208,0.0005513677208605043,0.04562094,,
3072,6,3,465,-0.05417533698782791,1.0534932613372803,0.2306640625,-0.10414934158325195,20,0.3,-14.58185034096241,-0.6479570865631104,0.6908883478026837,0.0005513677208605043,0.046284646,-0.23777629965591407,2327.0
4096,9,4,448,-0.06536318500293418,1.0913044214248657,0.25166015625,-0.7883268594741821,30,0.3,-14.903732308745385,-0.9705915451049805,0.1391792366048321,0.0005513677208605043,0.05724409,-0.23777629965591407,2327.0
5120,10,5,478,-0.04515252757410053,1.1345288753509521,0.18779296875,0.05380767583847046,40,0.3,-15.266450211405754,-0.8376288414001465,0.6062271563569084,0.0005513677208605043,0.044502527,-0.5427844193592082,2327.0
6144,13,6,463,-0.052567309567530175,1.1675245761871338,0.17744140625,-0.0020111799240112305,50,0.3,-15.599269714951514,-0.9568359851837158,0.34802021144423634,0.0005513677208605043,0.038227305,-0.5427844193592082,2327.0
7168,15,7,452,-0.04775314973958302,1.2019362449645996,0.2158203125,-0.042491912841796875,60,0.3,-15.889680978655814,-0.9392622113227844,0.27720686139073225,0.0005513677208605043,0.056098547,-0.5889021270179761,2327.0
8192,18,8,443,-0.059650023315043654,1.2427774667739868,0.22763671875,0.046260178089141846,70,0.3,-16.205681252479554,-0.9496285915374756,0.29379831631667913,0.0005513677208605043,0.056315154,-0.5889021270179761,2327.0
9216,21,9,433,-0.04745494471571874,1.2853477001190186,0.26015625,-0.07711958885192871,80,0.3,-16.542056900262832,-0.9218560457229614,0.21218399659264833,0.0005513677208605043,0.06299756,-0.5889021270179761,2327.0
10240,23,10,428,-0.04595283711096272,1.3245129585266113,0.2060546875,0.05414515733718872,90,0.3,-16.856789892911912,-0.8403317928314209,1.827756139356643,0.0005513677208605043,0.049122766,-0.7304172915186892,2327.0
11264,26,11,423,-0.057547233923105526,1.3750667572021484,0.2076171875,-0.4262188673019409,100,0.3,-17.18862624168396,-1.1064825057983398,0.1598200665321201,0.0005513677208605043,0.05060474,-0.7304172915186892,2327.0
12288,29,12,419,-0.0516099539163406,1.425429105758667,0.23857421875,0.02821248769760132,110,0.3,-17.576818162202834,-0.9159364700317383,0.31545525866094976,0.0005513677208605043,0.05348666,-0.8586730634147643,2327.0
13312,31,13,417,-0.05270914174907375,1.4998618364334106,0.22314453125,0.1880859136581421,120,0.3,-18.009080916643143,-0.6375929713249207,0.4060061050578952,0.0005513677208605043,0.053611442,-0.8586730634147643,2327.0
14336,34,14,413,-0.052176448256068396,1.5396487712860107,0.2150390625,0.10418581962585449,130,0.3,-18.374054378271104,-0.8913534283638,0.577509129839018,0.0005513677208605043,0.048390344,-0.8573319715994195,2327.0
15360,37,15,411,-0.03389951317658415,1.5811021327972412,0.1484375,0.19514566659927368,140,0.3,-18.62549947500229,-1.1010141372680664,0.589102638233453,0.0005513677208605043,0.03401316,-0.8573319715994195,2327.0
16384,40,16,408,-0.037838145549176264,1.6461851596832275,0.248828125,0.06149405241012573,150,0.3,-18.97017958164215,-1.0562790632247925,0.3218676299555227,0.0005513677208605043,0.05566013,-0.7639566757135389,2327.0
17408,41,17,415,-0.046192488697124647,1.7181243896484375,0.200390625,0.14701217412948608,160,0.3,-19.376462537050248,-1.1544044017791748,1.06356888897717,0.0005513677208605043,0.047534402,-0.7639566757135389,2327.0
18432,44,18,412,-0.04640800846827915,1.769121527671814,0.21787109375,-0.22777998447418213,170,0.3,-19.758768802881242,-1.1734260320663452,0.24692542139673607,0.0005513677208605043,0.052730456,-0.7639566757135389,2327.0
19456,47,19,410,-0.038056475696794226,1.819962739944458,0.15546875,0.12264037132263184,180,0.3,-20.0269868850708,-0.475527286529541,7.381523437239229,0.0005513677208605043,0.03483645,-0.9067082490528826,2327.0
20480,50,20,408,-0.04857754843833391,1.8803365230560303,0.19384765625,-0.22261226177215576,190,0.3,-20.344815301895142,-0.9864367246627808,0.5707258650567383,0.0005513677208605043,0.04557588,-0.9067082490528826,2327.0
