time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/loss,train/std,train/learning_rate,train/n_updates,train/entropy_loss,train/approx_kl
2048,3,0.013361391319275209,647,1,1258.0,,,,,,,,,,,
4096,7,0.013793832931518653,554,2,1258.0,0.11669921875,0.2,-0.06333529949188232,-0.019688612180470955,0.5172149047255516,0.3247397541999817,1.003607988357544,0.0003,10,-14.214161857962608,0.012139468
6144,11,0.010398639830112463,539,3,1258.0,0.164306640625,0.2,-0.02483201026916504,-0.025621363529353403,1.1224072873592377,0.568047046661377,1.005858063697815,0.0003,20,-14.237501955032348,0.013431726
8192,15,0.007065876041094363,528,4,1258.0,0.146728515625,0.2,0.14801353216171265,-0.02619286980916513,0.67632074826397,0.3429814875125885,1.006983995437622,0.0003,30,-14.256108507514,0.01464179
10240,19,0.008329400118589389,522,5,1258.0,0.132421875,0.2,0.10943359136581421,-0.02242588820226956,0.5938544508069754,0.28899869322776794,1.0053550004959106,0.0003,40,-14.247799041867257,0.013739233
12288,27,0.006764359285354558,450,6,1258.0,0.140283203125,0.2,0.2170255184173584,-0.02310925476194825,1.4561721662059426,0.7435135245323181,1.0033754110336304,0.0003,50,-14.234921544790268,0.012806073
14336,31,0.015447300574953015,456,7,1258.0,0.1583984375,0.2,0.3121359944343567,-0.025522100157104433,0.5240078587085009,0.20795504748821259,1.0031565427780151,0.0003,60,-14.221216201782227,0.015695553
16384,35,0.013395341588203814,463,8,1258.0,0.11787109375,0.2,0.18181365728378296,-0.01867828704271233,1.9804200308397413,0.1690356731414795,1.006211280822754,0.0003,70,-14.229350632429123,0.011405148
18432,39,0.012110183279548424,467,9,1258.0,0.166845703125,0.2,0.4813844561576843,-0.027790832903701813,0.15324956465046852,0.016267642378807068,1.0067145824432373,0.0003,80,-14.250969555974006,0.014678767
20480,43,0.012179006273001471,470,10,1258.0,0.15810546875,0.2,0.3216218948364258,-0.02797599751938833,0.6767501318361611,0.2861071527004242,1.00403892993927,0.0003,90,-14.239848414063454,0.016297426
