rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,train/approx_kl,train/n_updates,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/std,train/loss,train/learning_rate,train/value_loss
0.06807006507110491,1,3,1258.0,515,2048,,,,,,,,,,,
0.12156827393341034,2,8,1258.0,463,4096,0.011855736,10,-0.10577309131622314,-14.179152661561966,-0.018317617174761835,0.124658203125,0.2,0.9967427253723145,0.1334080547094345,0.0003,0.6940056969411671
0.12845271722984325,3,13,1258.0,456,6144,0.013753479,20,-0.07005321979522705,-14.147521221637726,-0.02700954713509418,0.173583984375,0.2,0.9952185750007629,0.3390112519264221,0.0003,0.6735056252218783
0.12022477834955936,4,17,1258.0,459,8192,0.012730199,30,0.06414526700973511,-14.122745344042778,-0.025112549404730088,0.132470703125,0.2,0.9916546940803528,0.15968838334083557,0.0003,0.48478536591865123
0.10891104555893052,5,22,1258.0,465,10240,0.012904283,40,0.09772336483001709,-14.110316187143326,-0.024733974259288517,0.12060546875,0.2,0.9916388392448425,0.2524425983428955,0.0003,0.40999989127740266
0.11042832969019217,6,26,1258.0,468,12288,0.014292131,50,0.0687817931175232,-14.08842121064663,-0.0256631052987359,0.144091796875,0.2,0.9883182644844055,0.47148022055625916,0.0003,0.6759610624518245
0.13647671531009717,7,34,1258.0,421,14336,0.014404602,60,0.11140412092208862,-14.05503938794136,-0.025030785487615503,0.157958984375,0.2,0.9862498044967651,0.15123704075813293,0.0003,0.42062420812435447
0.13750860561657005,8,38,1258.0,428,16384,0.014048053,70,0.0920863151550293,-14.01160016655922,-0.026842303364537655,0.16435546875,0.2,0.9804815053939819,0.11258193105459213,0.0003,0.5572068968322128
0.1266601474586894,9,42,1258.0,433,18432,0.014052332,80,0.16454946994781494,-13.966018331050872,-0.024024904632096878,0.154638671875,0.2,0.9768320322036743,0.24725882709026337,0.0003,1.0115489509887994
0.1535965818204285,10,46,1258.0,438,20480,0.015894424,90,0.2921902537345886,-13.9551782310009,-0.02779837148700608,0.172314453125,0.2,0.9768966436386108,0.16712060570716858,0.0003,0.5317885036114604
