rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,train/learning_rate,train/policy_gradient_loss,train/loss,train/value_loss,train/entropy_loss,train/explained_variance,train/n_updates,train/clip_range,train/std,train/approx_kl,train/clip_fraction
0.06835321853828427,1,3,1005.0,640,2048,,,,,,,,,,,
0.04419716700124773,2,7,1005.0,554,4096,0.0003,-0.021438169390603435,0.07247549295425415,0.21501146827358752,-14.153008002042771,-0.31431400775909424,10,0.2,0.9936927556991577,0.012028717,0.115625
0.04420399727884966,3,11,1005.0,531,6144,0.0003,-0.024353288859128953,0.08432584255933762,0.23910681114066393,-14.08245303928852,0.0017535090446472168,20,0.2,0.9870513081550598,0.014434683,0.1427734375
0.04952569142723133,4,16,1005.0,509,8192,0.0003,-0.022327634708199186,0.06771685183048248,0.18969581071287395,-14.05503211915493,0.03565490245819092,30,0.2,0.986650824546814,0.01185081,0.12822265625
0.044910745140838704,5,20,1005.0,495,10240,0.0003,-0.025698076091066467,0.10392710566520691,0.2575357294175774,-14.046189385652543,0.053805768489837646,40,0.2,0.9852010011672974,0.015010435,0.14697265625
0.05571284851392109,6,28,1005.0,426,12288,0.0003,-0.027582653693389147,0.10569564253091812,0.24962392444722353,-14.050409546494484,0.07860463857650757,50,0.2,0.9864650964736938,0.014693111,0.159423828125
0.06249410693522889,7,33,1005.0,430,14336,0.0003,-0.022510060012427856,0.10343640297651291,0.3115915048401803,-14.05158234834671,0.07022053003311157,60,0.2,0.9871481657028198,0.014132323,0.14306640625
0.06742904342651401,8,38,1005.0,430,16384,0.0003,-0.031760985129221805,0.0654846578836441,0.18202604323159904,-14.058695158362388,0.10087311267852783,70,0.2,0.9869740605354309,0.018135048,0.1939453125
0.06841554995653408,9,45,1005.0,402,18432,0.0003,-0.025366728738299572,0.10240888595581055,0.41652520690113304,-14.06778243780136,0.10120630264282227,80,0.2,0.9884859323501587,0.014136964,0.168701171875
0.07376687632036265,10,50,1005.0,404,20480,0.0003,-0.02818772502942011,0.11428462713956833,0.3131711543072015,-14.085323771834373,0.11517959833145142,90,0.2,0.9910153150558472,0.013823182,0.167919921875
