date,account_value
2020-01-02,100000.0
2020-01-02,99804.3734375
2020-01-03,100875.1675390625
2020-01-06,102329.56035980224
2020-01-07,104146.11875
2020-01-08,103288.51861450195
2020-01-09,102959.0816744995
2020-01-10,110312.03827941895
2020-01-13,111252.09827941893
2020-01-14,108427.63827941894
2020-01-15,108325.27216278078
2020-01-16,107990.78856277466
2020-01-17,112577.84856277466
2020-01-21,115854.08856277465
2020-01-22,116660.47429870607
2020-01-23,115342.54971069336
2020-01-24,112792.27729598999
2020-01-27,115256.74729598999
2020-01-28,116515.32729598999
2020-01-29,123843.0264106369
2020-01-30,123090.87682617188
2020-01-31,137956.51522017838
2020-02-03,151354.88983659743
2020-02-04,134547.80543609618
2020-02-05,136875.6474182129
2020-02-06,136280.76005371095
2020-02-07,141151.50711029052
2020-02-10,142418.16711029052
2020-02-11,142527.50364105223
2020-02-12,146283.01364105224
2020-02-13,149287.37851455688
2020-02-14,156721.19504241942
2020-02-18,166456.60513412475
2020-02-19,163339.7920362854
2020-02-20,160705.4915272522
2020-02-21,149221.47905265808
2020-02-24,143229.7490526581
2020-02-25,142034.8690526581
2020-02-26,127954.63905265808
2020-02-27,129893.45905265809
2020-02-28,139851.74585277558
2020-03-02,137802.80585277558
2020-03-03,142046.61585277558
2020-03-04,137004.79585277557
2020-03-05,133303.16085277556
2020-03-06,118555.98585277557
2020-03-09,125984.12585277556
2020-03-10,121758.20585277557
2020-03-11,107440.47585277556
2020-03-12,111497.04585277557
2020-03-13,91243.57585277557
2020-03-16,93908.35585277557
2020-03-17,83743.75585277558
2020-03-18,92587.07585277557
2020-03-19,90792.05985157013
2020-03-20,92760.92985157014
2020-03-23,107525.48985157014
2020-03-24,110334.33985157013
2020-03-25,111909.49985157013
2020-03-26,109173.41985157013
2020-03-27,110596.25985157012
2020-03-30,112401.29985157013
2020-03-31,103806.63985157013
2020-04-01,103490.39985157014
2020-04-02,103939.47985157013
2020-04-03,112803.85712890625
2020-04-06,114022.3599119568
2020-04-07,116026.18991195678
2020-04-08,117704.8479119568
2020-04-09,127170.51522583008
2020-04-13,136292.63188995363
2020-04-14,137249.30688720703
2020-04-15,141372.24087402344
2020-04-16,141421.05592781067
2020-04-17,139381.15592781067
2020-04-20,130291.54592781066
2020-04-21,137984.61592781066
2020-04-22,135469.3967404175
2020-04-23,138691.79545166015
2020-04-24,145435.72707031248
2020-04-27,141908.33625
2020-04-28,146278.478125
2020-04-29,144010.71815625
2020-04-30,136677.63523437502
2020-05-01,142837.89380371093
2020-05-04,144198.00984085083
2020-05-05,146373.79100585938
2020-05-06,147596.43208740235
2020-05-07,152802.2290789795
2020-05-08,154330.0290789795
2020-05-11,151747.7290789795
2020-05-12,149724.89907897948
2020-05-13,152988.78907897952
2020-05-14,155974.62407897948
2020-05-15,159766.08907897948
2020-05-18,159662.09894870757
2020-05-19,162219.29615966795
2020-05-20,161759.711328125
2020-05-21,162525.2528125
2020-05-22,160977.071328125
2020-05-26,160281.5621484375
