date,account_value
2023-09-29,147708.28382505418
2023-10-02,144686.52382505417
2023-10-03,147075.83382505417
2023-10-04,146786.18382505415
2023-10-05,149220.18382505418
2023-10-06,149832.44382505416
2023-10-09,150650.80382505417
2023-10-10,153999.94382505416
2023-10-11,155587.31382505415
2023-10-12,152773.39382505417
2023-10-13,153900.07382505416
2023-10-16,154440.53382505415
2023-10-17,153006.76382505416
2023-10-18,152715.45382505417
2023-10-19,149159.71382505418
2023-10-20,148804.54382505416
2023-10-23,149564.85382505416
2023-10-24,144206.32382505416
2023-10-25,141990.92382505417
2023-10-26,144640.76382505416
2023-10-27,148610.21782714844
2023-10-30,149871.28107479095
2023-10-31,153367.81924816134
2023-11-01,156297.56924816134
2023-11-02,157176.5492481613
2023-11-03,158033.6292481613
2023-11-06,162144.04924816132
2023-11-07,161780.09924816128
2023-11-08,160312.06924816134
2023-11-09,164821.26756652835
2023-11-10,163073.38756652828
2023-11-13,166718.2275665283
2023-11-14,165706.12214584352
2023-11-15,168325.94181930542
2023-11-16,169136.98181930542
2023-11-17,171498.8718193054
2023-11-20,170067.5018193054
2023-11-21,171977.34181930544
2023-11-22,171855.51181930542
2023-11-24,172075.4918193054
2023-11-27,172662.79181930542
2023-11-28,171905.89181930543
2023-11-29,170953.03181930544
2023-11-30,171046.40181930544
2023-12-01,168436.34181930544
2023-12-04,169026.66181930545
2023-12-05,167102.95181930542
2023-12-06,170224.7018193054
2023-12-07,171035.15181930544
2023-12-08,173290.40181930544
2023-12-11,174749.15181930544
2023-12-12,174627.2518193054
2023-12-13,169368.0518193054
2023-12-14,170356.0518193054
2023-12-15,172642.24181930543
2023-12-18,174034.44181930544
2023-12-19,171692.27181930543
2023-12-20,173308.4418193054
2023-12-21,173352.58181930543
2023-12-22,174542.3918193054
2023-12-26,174386.2867071533
2023-12-27,174186.71054077146
2023-12-28,173760.58054077148
2023-12-29,168604.5005407715
2024-01-02,166539.77054077148
2024-01-03,164555.67994224667
2024-01-04,164248.12994224668
2024-01-05,168825.4899422467
