date,account_value
2022-01-03,100000.0
2022-01-03,99510.4534375
2022-01-04,97034.94859375
2022-01-05,96941.6796875
2022-01-06,96554.54218749999
2022-01-07,98486.09968750001
2022-01-10,99160.0471923828
2022-01-11,99685.8283254242
2022-01-12,96716.75050273897
2022-01-13,97556.35041603087
2022-01-14,96036.7704160309
2022-01-18,96456.81500755312
2022-01-19,95374.58500755309
2022-01-20,93457.94965877534
2022-01-21,96487.31965877533
2022-01-24,93487.28965877533
2022-01-25,93582.32965877534
2022-01-26,92214.86965877534
2022-01-27,96398.99272598267
2022-01-28,99077.10949172973
2022-01-31,99252.81623733044
2022-02-01,99047.81623733044
2022-02-02,95023.05041534425
2022-02-03,95877.94564620972
2022-02-04,94528.84289794923
2022-02-07,95534.28794921875
2022-02-08,96859.57425781249
2022-02-09,93471.74080078125
2022-02-10,89229.95386650086
2022-02-11,89770.04023437499
2022-02-14,91696.1255078125
2022-02-15,91392.332734375
2022-02-16,88294.9334375
2022-02-17,85582.4918798828
2022-02-18,84805.69791473389
2022-02-22,83071.129025774
2022-02-23,89475.32406185151
2022-02-24,89865.70445739747
2022-02-25,90265.91817527771
2022-02-28,90035.5621246338
2022-03-01,90931.78516906739
2022-03-02,88620.216663208
2022-03-03,87299.92541366577
2022-03-04,84575.61679450989
2022-03-07,83330.78009841919
2022-03-08,87048.05175079346
2022-03-09,84751.97175079345
2022-03-10,80440.78175079345
2022-03-11,79502.46175079346
2022-03-14,81463.82175079346
2022-03-15,85420.29500732422
2022-03-16,85807.61126190187
2022-03-17,87518.12052658081
2022-03-18,87568.10539382935
2022-03-21,90027.08539382934
2022-03-22,81681.99539382933
2022-03-23,83450.80753692627
2022-03-24,83358.14265579224
2022-03-25,86873.21320350649
2022-03-28,90009.59124832154
2022-03-29,88807.59124832154
2022-03-30,87951.21124832155
2022-03-31,88442.50124832153
2022-04-01,90484.10124832153
2022-04-04,88513.72218811036
2022-04-05,85766.2700189209
2022-04-06,87379.37685501098
2022-04-07,85957.31685501098
2022-04-08,83852.38287307738
2022-04-11,82371.26287307739
2022-04-12,83314.70287307739
2022-04-13,81150.70287307739
2022-04-14,82115.9828730774
2022-04-18,84220.30287307738
2022-04-19,82638.14287307739
2022-04-20,80590.56715270996
2022-04-21,78892.26715270996
2022-04-22,79914.06765251159
2022-04-25,77051.5876525116
2022-04-26,76829.44765251159
2022-04-27,79292.4647440338
2022-04-28,76476.91134140015
2022-04-29,78658.29756591798
2022-05-02,78714.21830619812
2022-05-03,81756.99830619813
2022-05-04,77353.98830619812
2022-05-05,75527.46830619812
2022-05-06,72816.93830619812
2022-05-09,75917.28830619811
2022-05-10,73278.78830619813
2022-05-11,75034.26830619812
2022-05-12,78302.01830619811
2022-05-13,77799.69830619812
2022-05-16,79117.7783061981
2022-05-17,76837.77830619812
2022-05-18,76106.01830619811
2022-05-19,77005.96794593812
2022-05-20,78481.75794593811
2022-05-23,76875.58794593811
2022-05-24,77664.45297851562
2022-05-25,78843.77437408447
2022-05-26,82617.42437408448
2022-05-27,80360.91592041016
2022-05-31,80682.46592041016
2022-06-01,85126.94388626098
2022-06-02,82903.50388626098
2022-06-03,82845.50388626098
2022-06-06,83606.6798297882
2022-06-07,82722.11982978821
2022-06-08,82252.19982978821
2022-06-09,75990.6798297882
2022-06-10,71728.1998297882
2022-06-13,71566.19982978821
2022-06-14,72744.5198297882
2022-06-15,70467.3998297882
2022-06-16,69644.27982978821
2022-06-17,70072.6798297882
2022-06-21,70517.3998297882
2022-06-22,72683.79982978821
2022-06-23,74820.51982978822
2022-06-24,73541.07982978821
2022-06-27,70570.9198297882
2022-06-28,71120.5198297882
2022-06-29,70650.11982978821
2022-06-30,71114.43982978821
2022-07-01,72632.34199634552
2022-07-05,73855.69199634551
2022-07-06,75404.16199634552
2022-07-07,75130.10199634552
2022-07-08,74119.24199634552
2022-07-11,72466.19199634551
2022-07-12,71775.87199634551
2022-07-13,71964.40199634552
2022-07-14,73294.88199634553
2022-07-15,72402.56199634552
2022-07-18,74794.06302261353
2022-07-19,77333.05302261353
2022-07-20,78930.77302261353
2022-07-21,77639.94302261353
2022-07-22,75793.46327529907
2022-07-25,73366.55999145507
2022-07-26,76090.53422424317
2022-07-27,78072.85581521988
2022-07-28,79730.8781930542
2022-07-29,79850.82567596436
2022-08-01,79819.58335623503
2022-08-02,82465.58335623503
2022-08-03,83431.89335623501
2022-08-04,82795.2351612091
2022-08-05,83016.53866271971
2022-08-08,81568.63277801513
2022-08-09,83995.64921279906
2022-08-10,83042.67015988349
2022-08-11,85435.6601598835
2022-08-12,86743.9001598835
2022-08-15,86106.2101598835
2022-08-16,84720.28519042967
2022-08-17,84839.26136535643
2022-08-18,82474.90636535645
2022-08-19,80045.02136535644
2022-08-22,80208.16136535644
2022-08-23,79599.68136535643
2022-08-24,69980.22136535645
2022-08-25,66431.78946334838
2022-08-26,65475.27972351074
2022-08-29,65019.01362392426
2022-08-30,64622.51494674683
2022-08-31,64430.47362499237
2022-09-01,63644.535717468265
2022-09-02,63739.54039413452
2022-09-06,65417.88039413452
2022-09-07,65915.07039413451
2022-09-08,67777.46915435791
2022-09-09,68829.60413543701
2022-09-12,64710.13376617432
2022-09-13,65690.27345489502
2022-09-14,60786.05959182739
2022-09-15,59939.04702423095
2022-09-16,60602.576931228636
2022-09-19,60588.24746520996
2022-09-20,59259.29874578476
2022-09-21,58025.07676330567
2022-09-22,56251.25636398316
2022-09-23,56128.87636398315
2022-09-26,57002.03547362327
2022-09-27,57404.60471572876
2022-09-28,54338.794715728756
2022-09-29,53409.68596801758
2022-09-30,51681.51596801757
2022-10-03,53135.33262084961
2022-10-04,52148.70262084961
2022-10-05,51710.46206329345
2022-10-06,49053.69817810059
2022-10-07,49021.80647792816
2022-10-10,48060.83816177368
2022-10-11,48078.98563064575
2022-10-12,49346.201401214596
2022-10-13,46651.43819885254
2022-10-14,48974.70706970215
2022-10-17,49269.49958496094
2022-10-18,49522.78741241455
2022-10-19,47702.10760662079
2022-10-20,49175.54760662079
2022-10-21,49152.28760662078
2022-10-24,50937.93760662079
2022-10-25,50716.10760662079
2022-10-26,50032.10760662079
2022-10-27,52191.058942718504
2022-10-28,51699.33709197998
2022-10-31,51350.86017471313
2022-11-01,48858.91408584594
2022-11-02,48096.93230102539
2022-11-03,46979.460706558224
2022-11-04,45636.571365356445
2022-11-07,44927.282737884525
2022-11-08,42437.60584777832
2022-11-09,45844.969960479735
2022-11-10,46940.95149414062
2022-11-11,46066.531494140625
2022-11-14,46776.05149414062
2022-11-15,45587.30149414062
2022-11-16,45337.851494140625
2022-11-17,45009.52149414062
2022-11-18,42890.95978454589
2022-11-21,43461.278376159666
2022-11-22,45388.86837615966
2022-11-23,44943.02837615967
2022-11-25,44426.03837615967
2022-11-28,43730.04837615967
2022-11-29,46542.46837615967
2022-11-30,46574.56181167602
2022-12-01,46520.75610626221
2022-12-02,44738.7161062622
2022-12-05,43864.8561062622
2022-12-06,42831.7461062622
2022-12-07,42998.27610626221
2022-12-08,43657.50610626221
2022-12-09,42530.796106262205
2022-12-12,41777.836106262206
2022-12-13,40915.156106262206
2022-12-14,40068.726106262206
2022-12-15,38816.95610626221
2022-12-16,38463.654367122654
2022-12-19,36884.473291778566
2022-12-20,37305.02329177856
2022-12-21,35255.963291778564
2022-12-22,34917.05329177857
2022-12-23,32828.863291778565
2022-12-27,32727.593291778565
2022-12-28,34422.403291778566
2022-12-29,34644.963291778564
2022-12-30,34644.963291778564
