date,account_value
2021-04-16,103446.84240463257
2021-04-19,103477.39240463258
2021-04-20,104766.79240463258
2021-04-21,102708.58240463257
2021-04-22,104291.33456542969
2021-04-23,104801.91089279176
2021-04-26,102983.04089279176
2021-04-27,102146.58089279175
2021-04-28,101175.00089279175
2021-04-29,102213.00089279175
2021-04-30,100170.42089279175
2021-05-03,97998.12089279175
2021-05-04,97370.61089279175
2021-05-05,96570.18089279174
2021-05-06,97701.99089279174
2021-05-07,94007.43089279174
2021-05-10,93975.81089279175
2021-05-11,90800.82089279176
2021-05-12,89953.68089279174
2021-05-13,92489.53725158691
2021-05-14,91266.81725158691
2021-05-17,91079.75725158691
2021-05-18,90195.80176830293
2021-05-19,92906.54176830291
2021-05-20,92130.08176830292
2021-05-21,94808.48176830291
2021-05-24,95551.49176830292
2021-05-25,96638.99176830292
2021-05-26,96324.05374694824
2021-05-27,96723.0555274582
2021-05-28,95628.62552745819
2021-06-01,94486.46552745817
2021-06-02,92243.06552745818
2021-06-03,95146.71025146484
2021-06-04,96093.01025146485
2021-06-07,95969.86025146485
2021-06-08,96322.81025146483
2021-06-09,99440.47025146484
2021-06-10,100099.49025146484
2021-06-11,102406.35025146486
2021-06-14,100312.38025146484
2021-06-15,100043.28025146485
2021-06-16,101688.23025146485
2021-06-17,103754.41025146484
2021-06-18,103814.43023208618
2021-06-21,104970.10247817994
2021-06-22,106764.75247817993
2021-06-23,108630.97247817993
2021-06-24,108317.57243530273
2021-06-25,110399.42270477294
2021-06-28,110151.52270477294
2021-06-29,109489.88010299683
2021-06-30,109277.93010299683
2021-07-01,110312.81010299682
2021-07-02,109600.04010299683
2021-07-06,109742.87010299682
2021-07-07,110253.53010299683
2021-07-08,110333.72010299683
2021-07-09,111554.09010299684
2021-07-12,111087.53010299683
2021-07-13,110627.18010299683
2021-07-14,110147.84010299682
2021-07-15,109757.00010299683
2021-07-16,109401.23010299681
2021-07-19,111039.98010299684
2021-07-20,111142.46010299682
2021-07-21,112093.46138917923
2021-07-22,111996.29138917924
2021-07-23,112285.24138917922
2021-07-26,111209.54138917923
2021-07-27,111640.20138917922
2021-07-28,113586.67138917922
2021-07-29,114183.67138917922
2021-07-30,115224.26138917923
2021-08-02,115530.68138917923
2021-08-03,116100.82138917923
2021-08-04,117064.11138917925
2021-08-05,116033.90138917923
2021-08-06,116678.08138917923
2021-08-09,115589.87138917923
2021-08-10,115954.35138917922
2021-08-11,117798.80138917924
2021-08-12,117830.44138917922
2021-08-13,115894.23138917923
2021-08-16,114420.99820739747
2021-08-17,114881.51488342286
2021-08-18,115206.56488342283
2021-08-19,116682.32598358154
2021-08-20,118805.9166796875
2021-08-23,119424.60594726562
2021-08-24,119665.82804687499
2021-08-25,118900.22308410644
2021-08-26,120306.17780273437
2021-08-27,122693.64446487426
2021-08-30,123324.0502726984
2021-08-31,123346.53027269841
2021-09-01,123053.03439910887
2021-09-02,123347.97439910889
2021-09-03,124971.88439910888
2021-09-07,125245.46781127929
2021-09-08,124963.88171279908
2021-09-09,123077.49746780394
2021-09-10,122924.25746780395
2021-09-13,122985.37528442382
2021-09-14,124908.65528442385
2021-09-15,125277.6298085022
2021-09-16,124779.40980850221
2021-09-17,120797.03980850219
2021-09-20,121701.0198085022
2021-09-21,122111.5798085022
2021-09-22,122706.72870498657
2021-09-23,123931.91870498657
2021-09-24,123926.29870498658
2021-09-27,120635.54479675292
2021-09-28,120845.90120788573
2021-09-29,120110.46905624389
2021-09-30,120250.51375778197
2021-10-01,119109.69272460937
2021-10-04,119762.63861206055
