date,account_value
2024-01-02,100000.0
2024-01-02,99829.4065625
2024-01-03,99680.02578125
2024-01-04,100489.75578125
2024-01-05,104390.37046875
2024-01-08,105991.67527343749
2024-01-09,108025.50060302735
2024-01-10,108932.61792011262
2024-01-11,108718.10792011261
2024-01-12,110660.65444458008
2024-01-16,109951.85927307128
2024-01-17,111625.9892730713
2024-01-18,115361.87927307129
2024-01-19,115382.7475049591
2024-01-22,115834.17750495911
2024-01-23,118111.63750495912
2024-01-24,118880.66079204559
2024-01-25,118243.17607460021
2024-01-26,120746.8227468109
2024-01-29,120718.10645004273
2024-01-30,118144.12540557861
2024-01-31,121077.72702331543
2024-02-01,128127.53521240235
2024-02-02,132073.53521240235
2024-02-05,130322.53059047699
2024-02-06,133094.69595535277
2024-02-07,132329.5559553528
2024-02-08,136703.2159553528
2024-02-09,136333.6559553528
2024-02-12,135267.45595535278
2024-02-13,138146.69595535277
2024-02-14,136241.8159553528
2024-02-15,136111.97595535277
2024-02-16,131404.89595535278
2024-02-20,129202.35595535279
2024-02-21,145061.69595535277
2024-02-22,145525.25595535277
2024-02-23,145818.79595535278
2024-02-26,144998.8993687439
2024-02-27,143661.40448547364
2024-02-28,146318.3744854736
2024-02-29,150425.1793269348
2024-03-01,153451.795603714
2024-03-04,153182.91434597014
2024-03-05,156182.82434597015
2024-03-06,161691.1228491211
2024-03-07,155358.59272506714
2024-03-08,152495.16386180877
2024-03-11,160599.0838618088
2024-03-12,159622.22886180878
2024-03-13,156829.8338618088
2024-03-14,155550.06886180877
2024-03-15,156333.49386180876
2024-03-18,157855.33965820313
2024-03-19,159645.99065330505
2024-03-20,160454.89282836913
2024-03-21,163972.08282836914
2024-03-22,164910.58795729876
2024-03-25,161695.93795729877
2024-03-26,159568.58846862795
2024-03-27,159752.74846862792
2024-03-28,159849.60846862794
2024-04-01,158666.21846862792
2024-04-02,158585.50846862793
2024-04-03,154370.7084686279
2024-04-04,158167.65846862792
2024-04-05,157133.12846862793
2024-04-08,155249.66846862793
2024-04-09,157192.29846862794
2024-04-10,162477.41846862793
2024-04-11,158962.21982757567
2024-04-12,155598.4871173096
2024-04-15,157011.40478088378
2024-04-16,152481.73299438477
2024-04-17,152625.29299438477
2024-04-18,141471.89419830323
2024-04-19,146062.7341983032
2024-04-22,150100.83419830323
2024-04-23,146111.02681427
2024-04-24,148775.75681427002
2024-04-25,156007.16351692198
2024-04-26,156623.8569534302
2024-04-29,153327.76195373535
2024-04-30,150608.78919708251
2024-05-01,155473.67919708253
2024-05-02,159664.22997619628
2024-05-03,164066.88309501647
2024-05-06,162313.98309501648
2024-05-07,161948.93783416747
2024-05-08,160558.4138283539
2024-05-09,161212.5638283539
2024-05-10,161680.74382835388
2024-05-13,162948.30382835388
2024-05-14,166441.57382835387
2024-05-15,165484.18382835388
2024-05-16,163658.47382835386
2024-05-17,165984.09382835386
2024-05-20,166614.1638283539
2024-05-21,166056.4738283539
2024-05-22,175312.7838283539
2024-05-23,178373.58382835388
2024-05-24,187161.3538283539
2024-05-28,188181.6338283539
2024-05-29,182584.7838283539
2024-05-30,180843.79382835387
2024-05-31,187509.68382835388
2024-06-03,189424.61382835387
2024-06-04,196809.6438283539
2024-06-05,196157.35382835387
2024-06-06,195939.80460063936
2024-06-07,73704.81460063935
2024-06-10,74257.69857803345
2024-06-11,74971.96193870544
2024-06-12,74763.05398349762
2024-06-13,74877.6941241455
2024-06-14,75196.46302536964
2024-06-17,75215.8760786438
2024-06-18,74830.50949737549
2024-06-20,74447.86902160646
2024-06-21,72708.0213696289
2024-06-24,74501.12998962402
2024-06-25,75771.25687355042
2024-06-26,75880.00897760391
2024-06-27,74716.69724660993
2024-06-28,75796.33046997071
2024-07-01,76097.53953338624
2024-07-02,77272.51450271606
2024-07-03,78043.7368395996
2024-07-05,78409.57078460693
2024-07-08,79252.86855163574
2024-07-09,80665.45526433944
2024-07-10,77449.46738845826
2024-07-11,77875.7875680542
2024-07-12,78055.89978240966
2024-07-15,77423.348493042
2024-07-16,73762.65533477784
2024-07-17,74228.67008605957
2024-07-18,73457.44008605956
2024-07-19,75104.50008605958
2024-07-22,75039.36008605958
2024-07-23,71325.63008605957
2024-07-24,70482.65008605957
2024-07-25,71044.34008605957
2024-07-26,70706.27008605957
2024-07-29,68704.73008605957
2024-07-30,72862.10008605957
2024-07-31,70880.25008605958
2024-08-01,70362.77008605958
2024-08-02,66819.00008605956
2024-08-05,67922.93998881817
2024-08-06,66824.19998881817
2024-08-07,69350.51998881817
2024-08-08,69911.06998881817
2024-08-09,71126.51998881817
2024-08-12,73759.60998881816
2024-08-13,74266.32998881816
2024-08-14,76154.49998881816
2024-08-15,76541.94998881817
2024-08-16,77933.25998881817
2024-08-19,77276.17625488281
2024-08-20,77773.63531784058
2024-08-21,76234.78531784058
