date,account_value
2023-01-03,100000.0
2023-01-03,100027.4065625
2023-01-04,99472.8690625
2023-01-05,100070.59703125
2023-01-06,100976.5709375
2023-01-09,101271.99625
2023-01-10,102773.02578124999
2023-01-11,103761.03074218749
2023-01-12,103738.01967868804
2023-01-13,104960.85432121278
2023-01-17,103295.02432121275
2023-01-18,103339.61445419313
2023-01-19,107138.24445419312
2023-01-20,110627.10445419312
2023-01-23,110195.76445419311
2023-01-24,109507.70445419312
2023-01-25,114713.51445419312
2023-01-26,118960.06445419311
2023-01-27,114964.54867078782
2023-01-30,117590.24867078781
2023-01-31,121326.2386707878
2023-02-01,131364.79867078783
2023-02-02,129411.1240335083
2023-02-03,129465.62403350831
2023-02-06,132780.02403350832
2023-02-07,131014.64940612792
2023-02-08,130266.40810272217
2023-02-09,127367.39670119286
2023-02-10,129113.64670119286
2023-02-13,131950.19670119285
2023-02-14,132143.82670119285
2023-02-15,127723.38826004029
2023-02-16,127816.75826004028
2023-02-17,124267.87826004028
2023-02-21,124678.78826004028
2023-02-22,125223.52984733583
2023-02-23,121448.33750709533
2023-02-24,123489.48695590973
2023-02-27,124190.07695590972
2023-02-28,123056.01695590973
2023-03-01,122424.91695590972
2023-03-02,126932.76695590973
2023-03-03,126580.47071578981
2023-03-06,124881.2917427063
2023-03-07,124005.2134348297
2023-03-08,120995.79343482971
2023-03-09,119612.03343482972
2023-03-10,120240.7234348297
2023-03-13,125789.7034348297
2023-03-14,126580.05343482971
2023-03-15,131336.90343482973
2023-03-16,129594.91343482971
2023-03-17,130174.6060474205
2023-03-20,134720.34604742052
2023-03-21,131959.3360474205
2023-03-22,134181.7960474205
2023-03-23,134897.1360474205
2023-03-24,133859.9260474205
2023-03-27,132806.3860474205
2023-03-28,135570.9060474205
2023-03-29,136830.38998703
2023-03-30,140743.2388493776
2023-03-31,138094.51884937764
2023-04-03,138359.0488493776
2023-04-04,135888.05884937762
2023-04-05,137472.32884937763
2023-04-06,136483.67884937764
2023-04-10,135687.3688493776
2023-04-11,134452.70884937764
2023-04-12,138049.81884937763
2023-04-13,137832.75884937763
2023-04-14,137752.7988493776
2023-04-17,136896.77884937762
2023-04-18,135925.15884937762
2023-04-19,131901.72884937763
2023-04-20,132037.79884937764
2023-04-21,131127.3688493776
2023-04-24,128492.64884937764
2023-04-25,129012.00884937763
2023-04-26,137401.61779045104
2023-04-27,139238.60723773955
2023-04-28,138841.5514280701
2023-05-01,137311.10142807008
2023-05-02,135261.0214280701
2023-05-03,134157.3314280701
2023-05-04,137176.38142807008
2023-05-05,137180.9713410568
2023-05-08,136378.92134105682
2023-05-09,136981.96364288093
2023-05-10,137936.2536428809
2023-05-11,136256.9736428809
2023-05-12,137641.3336428809
2023-05-15,137941.2236428809
2023-05-16,141136.27864288093
2023-05-17,143368.0436428809
2023-05-18,144532.79078292844
2023-05-19,147194.65078292845
2023-05-22,145467.61078292847
2023-05-23,144814.6607829285
2023-05-24,148822.62078292848
2023-05-25,154720.91078292846
2023-05-26,156365.17078292847
2023-05-30,157124.27078292848
2023-05-31,160365.30078292845
2023-06-01,162634.28078292846
2023-06-02,163010.92078292847
2023-06-05,163464.10868594886
2023-06-06,160534.49868594884
2023-06-07,164403.35868594883
2023-06-08,167536.62868594885
2023-06-09,171843.97868594885
2023-06-12,174230.25868594885
2023-06-13,174634.9579876709
2023-06-14,177976.55121253966
2023-06-15,178474.0212125397
2023-06-16,180762.82121253968
2023-06-20,176099.00121253968
2023-06-21,178401.0362426758
2023-06-22,177625.55624267578
2023-06-23,171465.49624267578
2023-06-26,176239.3762426758
2023-06-27,176756.9162426758
2023-06-28,176228.11624267578
2023-06-29,179062.2562426758
2023-06-30,181958.44830387115
2023-07-03,184292.52830387113
2023-07-05,182450.66830387115
2023-07-06,181624.41830387118
2023-07-07,181601.10830387115
2023-07-10,183152.39830387116
2023-07-11,186467.49830387114
2023-07-12,189793.99830387114
2023-07-13,189650.77830387116
2023-07-14,192355.89830387116
2023-07-17,195200.13830387115
2023-07-18,194753.92830387113
