rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/clip_range,train/learning_rate,train/loss,train/std,train/explained_variance,train/clip_fraction,train/value_loss,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/approx_kl
1257.0,1,3,-0.0758425541419987,2048,606,,,,,,,,,,,
1257.0,2,11,-0.07418258268811405,4096,369,0.2,0.0003,0.26518529653549194,0.999309241771698,-0.07841551303863525,0.136083984375,0.812816215865314,-14.183847415447236,10,-0.01984963271097513,0.012043713
1257.0,3,15,-0.06382739518936051,6144,404,0.2,0.0003,0.3398936986923218,1.00203275680542,-0.0039055347442626953,0.12646484375,0.6753409701399505,-14.196738439798356,20,-0.023641099350788862,0.011249518
1257.0,4,19,-0.07631692832633914,8192,427,0.2,0.0003,0.4164060354232788,0.9991275668144226,0.313102662563324,0.143994140625,0.7219284811988473,-14.189827424287795,30,-0.025811183002952022,0.013014295
1257.0,5,23,-0.06287898021558704,10240,439,0.2,0.0003,0.20404794812202454,0.9998055696487427,0.3863426446914673,0.163525390625,0.6537202058359981,-14.182411241531373,40,-0.028575153155543376,0.0151245035
1257.0,6,27,-0.05644312279810547,12288,447,0.2,0.0003,0.7490107417106628,0.9937845468521118,0.44430768489837646,0.145654296875,0.9481693817302584,-14.149353566765786,50,-0.02465817458287347,0.012022173
1257.0,7,31,-0.06390786729035079,14336,453,0.2,0.0003,0.35984888672828674,0.9945637583732605,0.566904217004776,0.154345703125,0.6986743810586631,-14.127727243304253,60,-0.027818870567716657,0.013499495
1257.0,8,35,-0.07355441419383692,16384,458,0.2,0.0003,0.29377231001853943,0.9942365884780884,0.5104667246341705,0.170166015625,0.6307544822804629,-14.13619331419468,70,-0.029851696316836752,0.014065173
1257.0,9,39,-0.07733237463694417,18432,463,0.2,0.0003,0.24824661016464233,0.9913918375968933,0.35556459426879883,0.1658203125,1.9537681151647122,-14.110445180535317,80,-0.02476599284564145,0.015092634
1257.0,10,49,-0.0836103382798622,20480,414,0.2,0.0003,0.33481335639953613,0.9912603497505188,0.5173876583576202,0.16005859375,1.0330875590443611,-14.09931755065918,90,-0.028140702776727266,0.016522245
