time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/approx_kl,train/loss,train/clip_range,train/std,train/n_updates,train/policy_loss,train/learning_rate,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
0,512,1,576,,,,,,,,,,,,,,
2,1024,2,511,0.019848775,-1.0279412269592285,0.2,1.0124752521514893,10,-0.04214799517067149,0.0005562533485279107,-14.256948018074036,-0.5251916646957397,0.1498849017545581,0.1984375,-0.04214799517067149,,
3,1536,3,488,0.018198632,-0.970698356628418,0.2,1.0257283449172974,20,-0.04036021983483806,0.0005562533485279107,-14.379486012458802,-0.03053569793701172,0.38390476945787666,0.196875,-0.04036021983483806,,
4,2048,4,470,0.01571613,-0.7903186082839966,0.2,1.0453312397003174,30,-0.03107228490698617,0.0005562533485279107,-14.540961349010468,0.0011965036392211914,2.4157889675349,0.1529296875,-0.03107228490698617,,
5,2560,5,464,0.017812233,-1.0971523523330688,0.2,1.0650891065597534,40,-0.03939299719640985,0.0005562533485279107,-14.728422462940216,0.07308506965637207,0.3586783595383167,0.215625,-0.03939299719640985,-0.06918286400604248,2327.0
6,3072,6,458,0.021355797,-1.1373541355133057,0.2,1.086875319480896,50,-0.050248737056972456,0.0005562533485279107,-14.921309804916381,0.2967876195907593,0.14357760436832906,0.20859375,-0.050248737056972456,-0.06918286400604248,2327.0
7,3584,7,458,0.020888975,-1.0349886417388916,0.2,1.0997424125671387,60,-0.04825789782335051,0.0005562533485279107,-15.082466673851012,-0.15090584754943848,0.37905578017234803,0.2361328125,-0.04825789782335051,-0.06918286400604248,2327.0
8,4096,8,455,0.018975154,-0.23323965072631836,0.2,1.1191370487213135,70,-0.036582190939225254,0.0005562533485279107,-15.221909260749817,0.03828006982803345,2.202972810715437,0.212890625,-0.036582190939225254,-0.06918286400604248,2327.0
10,4608,9,450,0.018771578,-0.8123309016227722,0.2,1.1337007284164429,80,-0.042818275757599625,0.0005562533485279107,-15.373373973369599,-0.08287346363067627,0.8067525260150432,0.2080078125,-0.042818275757599625,-0.06918286400604248,2327.0
11,5120,10,447,0.014257364,9.146950721740723,0.2,1.147318959236145,90,-0.02177243261830881,0.0005562533485279107,-15.499083650112151,0.01679748296737671,15.274139854311944,0.15859375,-0.02177243261830881,-0.37528811950302104,2327.0
12,5632,11,446,0.022376832,-1.0835920572280884,0.2,1.1677099466323853,100,-0.05466645231936127,0.0005562533485279107,-15.647709262371063,-0.7623687982559204,0.3087133880704641,0.2623046875,-0.05466645231936127,-0.37528811950302104,2327.0
13,6144,12,447,0.023292497,-1.0789453983306885,0.2,1.1837491989135742,110,-0.049200708023272456,0.0005562533485279107,-15.80330275297165,-0.13110601902008057,0.36615490429103376,0.2533203125,-0.049200708023272456,-0.37528811950302104,2327.0
14,6656,13,445,0.019591907,-0.8025356531143188,0.2,1.2027782201766968,120,-0.04121792004443705,0.0005562533485279107,-15.948050248622895,-0.12231802940368652,0.863013868778944,0.2302734375,-0.04121792004443705,-0.37528811950302104,2327.0
16,7168,14,444,0.017547507,-0.8550205230712891,0.2,1.2241060733795166,130,-0.04052169944625348,0.0005562533485279107,-16.113145422935485,0.29023832082748413,1.0440324101597072,0.1669921875,-0.04052169944625348,-0.41476555844879126,2327.0
